fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-01,DL,DL_CODESHARE,DL,3698,OO,N923EV,3698,10397,ATL,"Atlanta, GA",11308,DHN,"Dothan, AL",1207,1202,-5,13,1215,1153,2,1209,1155,-14,0,NULL,0,N,62,53,38,1,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3698,OO,N923EV,3698,11308,DHN,"Dothan, AL",10397,ATL,"Atlanta, GA",1410,1402,-8,16,1418,1558,6,1614,1604,-10,0,NULL,0,N,64,62,40,1,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3699,OO,N604SK,3699,13487,MSP,"Minneapolis, MN",11898,GFK,"Grand Forks, ND",2226,2231,5,8,2239,2324,4,2355,2328,-27,0,NULL,0,N,89,57,45,1,284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3702,OO,N878AS,3702,12884,LAN,"Lansing, MI",13487,MSP,"Minneapolis, MN",700,702,2,20,722,742,6,804,748,-16,0,NULL,0,N,124,106,80,1,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3703,OO,N604SK,3703,11898,GFK,"Grand Forks, ND",13487,MSP,"Minneapolis, MN",900,1000,60,28,1028,1115,9,1027,1124,57,0,NULL,0,N,87,84,47,1,284,0,57,0,0,0,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3704,OO,N252SY,3704,13198,MCI,"Kansas City, MO",14869,SLC,"Salt Lake City, UT",1746,1742,-4,9,1751,1911,5,1937,1916,-21,0,NULL,0,N,171,154,140,1,920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3704,OO,N252SY,3704,14869,SLC,"Salt Lake City, UT",13198,MCI,"Kansas City, MO",1004,955,-9,31,1026,1331,6,1341,1337,-4,0,NULL,0,N,157,162,125,1,920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3706,OO,N283SY,3706,10994,CHS,"Charleston, SC",12478,JFK,"New York, NY",1215,1208,-7,14,1222,1343,7,1413,1350,-23,0,NULL,0,N,118,102,81,1,636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3707,OO,N614SK,3707,11298,DFW,"Dallas/Fort Worth, TX",14869,SLC,"Salt Lake City, UT",815,808,-7,23,831,947,7,1015,954,-21,0,NULL,0,N,180,166,136,1,989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3708,OO,N815SK,3708,11603,EUG,"Eugene, OR",14869,SLC,"Salt Lake City, UT",545,537,-8,60,637,904,6,848,910,22,0,NULL,0,N,123,153,87,1,618,0,0,22,0,0,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3709,OO,N803SK,3709,13198,MCI,"Kansas City, MO",14869,SLC,"Salt Lake City, UT",820,817,-3,49,906,1016,6,1015,1022,7,0,NULL,0,N,175,185,130,1,920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3712,OO,N274SY,3712,12953,LGA,"New York, NY",15096,SYR,"Syracuse, NY",2155,2149,-6,14,2203,2248,5,2302,2253,-9,0,NULL,0,N,67,64,45,1,198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3713,OO,N822SK,3713,11884,GEG,"Spokane, WA",14869,SLC,"Salt Lake City, UT",1304,1248,-16,15,1303,1515,8,1554,1523,-31,0,NULL,0,N,110,95,72,1,546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3713,OO,N822SK,3713,14869,SLC,"Salt Lake City, UT",11884,GEG,"Spokane, WA",1120,1107,-13,25,1132,1200,3,1224,1203,-21,0,NULL,0,N,124,116,88,1,546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3714,OO,N607SK,3714,13502,MTJ,"Montrose/Delta, CO",14869,SLC,"Salt Lake City, UT",1301,1305,4,26,1331,1413,8,1425,1421,-4,0,NULL,0,N,84,76,42,1,269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3714,OO,N607SK,3714,14869,SLC,"Salt Lake City, UT",13502,MTJ,"Montrose/Delta, CO",1105,1059,-6,15,1114,1157,4,1226,1201,-25,0,NULL,0,N,81,62,43,1,269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3715,OO,N288SY,3715,12478,JFK,"New York, NY",10994,CHS,"Charleston, SC",1340,1337,-3,16,1353,1546,8,1603,1554,-9,0,NULL,0,N,143,137,113,1,636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3716,OO,N431SW,3716,10146,ABY,"Albany, GA",10397,ATL,"Atlanta, GA",620,619,-1,15,634,712,8,723,720,-3,0,NULL,0,N,63,61,38,1,145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3717,OO,N263SY,3717,14492,RDU,"Raleigh/Durham, NC",12953,LGA,"New York, NY",900,857,-3,27,924,1030,8,1041,1038,-3,0,NULL,0,N,101,101,66,1,431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3718,OO,N815SK,3718,14869,SLC,"Salt Lake City, UT",11603,EUG,"Eugene, OR",2036,2029,-7,23,2052,2117,3,2151,2120,-31,0,NULL,0,N,135,111,85,1,618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3719,OO,N822SK,3719,14869,SLC,"Salt Lake City, UT",13198,MCI,"Kansas City, MO",2025,2050,25,36,2126,20,8,2358,28,30,0,NULL,0,N,153,158,114,1,920,25,0,5,0,0,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3721,OO,N161PQ,3721,11648,FCA,"Kalispell, MT",13487,MSP,"Minneapolis, MN",1425,1512,47,25,1537,1848,5,1822,1853,31,0,NULL,0,N,177,161,131,1,1026,0,0,0,0,31,NULL,NULL,NULL,NULL
2019-01-01,DL,DL_CODESHARE,DL,3721,OO,N161PQ,3721,13487,MSP,"Minneapolis, MN",11648,FCA,"Kalispell, MT",1130,1302,92,11,1313,1437,3,1346,1440,54,0,NULL,0,N,196,158,144,1,1026,54,0,0,0,0,NULL,NULL,NULL,NULL
